run_id,feature_set,model,n_features,auc_roc,pr_auc,sensitivity,specificity,accuracy,test_pos,test_neg,fold,train_rows,test_rows,train_pos,train_neg,train_subjects,test_subjects,train_single_class,best_params,best_inner_score
doe_v1_all_models,bp_plus_rms_kurt_skew,logreg,16,0.624504048582996,0.013269471268350616,0.5576923076922969,0.5575438596491227,0.5575452016689846,52,5700,6,46492,5752,597,45895,chb05;chb09;chb14;chb20;chb22;chb23,chb16,,,
doe_v1_all_models,bp_plus_rms_kurt_skew,logreg,16,0.8288086419753087,0.3188625064928644,0.0,0.9999999999999997,0.9374999999999997,180,2700,7,49364,2880,469,48895,chb05;chb09;chb14;chb16;chb20;chb22,chb23,,,
doe_v1_all_models,bp_plus_rms_kurt_skew,random_forest,16,,,,0.9857264957264956,0.9857264957264956,0,11700,1,40544,11700,649,39895,chb09;chb14;chb16;chb20;chb22;chb23,chb05,,,
doe_v1_all_models,bp_plus_rms_kurt_skew,random_forest,16,0.9106297120257076,0.3623519033058322,0.045977011494252346,0.9998924731182793,0.9910514541387022,87,9300,2,42857,9387,562,42295,chb05;chb09;chb14;chb16;chb20;chb23,chb22,,,
doe_v1_all_models,bp_plus_rms_kurt_skew,random_forest,16,0.8602965642270499,0.2151118057676874,0.0,0.9998849913743528,0.9850441876274642,131,8695,3,43418,8826,518,42900,chb05;chb09;chb14;chb16;chb22;chb23,chb20,,,
doe_v1_all_models,bp_plus_rms_kurt_skew,random_forest,16,0.8251125703564728,0.04603921462096105,0.0,0.9969230769230768,0.9865516366404464,82,7800,4,44362,7882,567,43795,chb05;chb09;chb16;chb20;chb22;chb23,chb14,,,
doe_v1_all_models,bp_plus_rms_kurt_skew,random_forest,16,0.47421877342929974,0.017703246168108085,0.0,0.9996491228070173,0.9795427196149217,117,5700,5,46427,5817,532,45895,chb05;chb14;chb16;chb20;chb22;chb23,chb09,,,
doe_v1_all_models,bp_plus_rms_kurt_skew,random_forest,16,0.5678019568151147,0.010733180892972285,0.0,0.9992982456140349,0.9902642559109873,52,5700,6,46492,5752,597,45895,chb05;chb09;chb14;chb20;chb22;chb23,chb16,,,
doe_v1_all_models,bp_plus_rms_kurt_skew,random_forest,16,0.7531296296296297,0.3585201747578853,0.0,0.9999999999999997,0.9374999999999997,180,2700,7,49364,2880,469,48895,chb05;chb09;chb14;chb16;chb20;chb22,chb23,,,
doe_v1_all_models,bp_plus_rms_kurt_skew,svm,16,,,,0.9789743589743588,0.9789743589743588,0,11700,1,40544,11700,649,39895,chb09;chb14;chb16;chb20;chb22;chb23,chb05,,,
doe_v1_all_models,bp_plus_rms_kurt_skew,svm,16,0.8202311209986404,0.040000470593599756,0.0,0.9975268817204299,0.9882816661340149,87,9300,2,42857,9387,562,42295,chb05;chb09;chb14;chb16;chb20;chb23,chb22,,,
doe_v1_all_models,bp_plus_rms_kurt_skew,svm,16,0.8438191642999179,0.10768826625387605,0.1450381679389302,0.990684301322599,0.9781327894856104,131,8695,3,43418,8826,518,42900,chb05;chb09;chb14;chb16;chb22;chb23,chb20,,,
doe_v1_all_models,bp_plus_rms_kurt_skew,svm,16,0.5981738586616636,0.03960310706731113,0.060975609756096824,0.9926923076923075,0.9829992387718852,82,7800,4,44362,7882,567,43795,chb05;chb09;chb16;chb20;chb22;chb23,chb14,,,
doe_v1_all_models,bp_plus_rms_kurt_skew,svm,16,0.2183505772979457,0.012218894357811424,0.0,0.9980701754385963,0.9779955303421006,117,5700,5,46427,5817,532,45895,chb05;chb14;chb16;chb20;chb22;chb23,chb09,,,
doe_v1_all_models,bp_plus_rms_kurt_skew,svm,16,0.6027125506072873,0.013480159802363553,0.01923076923076886,0.9750877192982454,0.9664464534075102,52,5700,6,46492,5752,597,45895,chb05;chb09;chb14;chb20;chb22;chb23,chb16,,,
doe_v1_all_models,bp_plus_rms_kurt_skew,svm,16,0.7732520576131687,0.21088613790989286,0.0,0.9999999999999997,0.9374999999999997,180,2700,7,49364,2880,469,48895,chb05;chb09;chb14;chb16;chb20;chb22,chb23,,,
doe_v1_all_models,bp_plus_rms_kurt_skew,gradient_boosting,16,,,,0.9588034188034187,0.9588034188034187,0,11700,1,40544,11700,649,39895,chb09;chb14;chb16;chb20;chb22;chb23,chb05,,,
doe_v1_all_models,bp_plus_rms_kurt_skew,gradient_boosting,16,0.9352045482635027,0.300801086966021,0.06896551724137852,0.9990322580645159,0.9904122722914668,87,9300,2,42857,9387,562,42295,chb05;chb09;chb14;chb16;chb20;chb23,chb22,,,
doe_v1_all_models,bp_plus_rms_kurt_skew,gradient_boosting,16,0.9019257360332559,0.1681659252756472,0.0,0.9995399654974121,0.9847042828008156,131,8695,3,43418,8826,518,42900,chb05;chb09;chb14;chb16;chb22;chb23,chb20,,,
doe_v1_all_models,bp_plus_rms_kurt_skew,gradient_boosting,16,0.7128392745465917,0.051996964081898356,0.03658536585365809,0.997179487179487,0.9871859934026895,82,7800,4,44362,7882,567,43795,chb05;chb09;chb16;chb20;chb22;chb23,chb14,,,
doe_v1_all_models,bp_plus_rms_kurt_skew,gradient_boosting,16,0.776455240665767,0.05819474446399271,0.008547008547008475,0.9903508771929823,0.9706034038164001,117,5700,5,46427,5817,532,45895,chb05;chb14;chb16;chb20;chb22;chb23,chb09,,,
doe_v1_all_models,bp_plus_rms_kurt_skew,gradient_boosting,16,0.5242408906882592,0.009399427847990829,0.0,0.9912280701754385,0.9822670375521556,52,5700,6,46492,5752,597,45895,chb05;chb09;chb14;chb20;chb22;chb23,chb16,,,
doe_v1_all_models,bp_plus_rms_kurt_skew,gradient_boosting,16,0.9042098765432098,0.30560340925938134,0.0,0.9999999999999997,0.9374999999999997,180,2700,7,49364,2880,469,48895,chb05;chb09;chb14;chb16;chb20;chb22,chb23,,,
